"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"1","01-01T01:00:00",162,14.3,26.3,26.3,7.8
"2","01-01T02:00:00",141,14,26.2,26.2,7.6
"3","01-01T03:00:00",160,13.8,25.9,25.9,7.6
"4","01-01T04:00:00",152,13.5,25.7,25.7,7.6
"5","01-01T05:00:00",141,13.4,25.7,25.7,7.5
"6","01-01T06:00:00",125,13.2,25.5,25.5,7.5
"7","01-01T07:00:00",111,13.3,25.6,25.6,7.7
"8","01-01T08:00:00",103,13.4,26.1,26.1,7.6
"9","01-01T09:00:00",118,14.9,30,30,7.9
"10","01-01T10:00:00",118,15.8,34,34,8.3
"11","01-01T11:00:00",107,16.1,37,37,8.3
"12","01-01T12:00:00",122,16.1,38.9,38.9,8.4
"13","01-01T13:00:00",125,16.1,40,40,8.5
"14","01-01T14:00:00",132,16.2,40,40,8.6
"15","01-01T15:00:00",142,16.4,39.2,39.2,8.5
"16","01-01T16:00:00",131,16.6,37.3,37.2,7.7
"17","01-01T17:00:00",153,16.3,33.3,33.3,7.2
"18","01-01T18:00:00",160,15.8,30.9,30.9,7.2
"19","01-01T19:00:00",159,15.7,29.5,29.5,7.4
"20","01-01T20:00:00",171,15.5,29,29,7.4
"21","01-01T21:00:00",172,15.3,28.2,28.2,7.5
"22","01-01T22:00:00",158,15,27.7,27.7,7.7
"23","01-01T23:00:00",148,14.8,27.3,27.3,7.8
"24","01-02T00:00:00",149,14.5,27,27,7.6
"25","01-02T01:00:00",164,14.4,26.6,26.6,7.7
"26","01-02T02:00:00",140,14,26.5,26.5,7.6
"27","01-02T03:00:00",162,13.8,26.2,26.2,7.6
"28","01-02T04:00:00",155,13.6,26,26,7.5
"29","01-02T05:00:00",141,13.5,25.9,25.9,7.5
"30","01-02T06:00:00",124,13.3,25.7,25.7,7.4
"31","01-02T07:00:00",112,13.4,25.8,25.8,7.6
"32","01-02T08:00:00",100,13.5,26.3,26.3,7.6
"33","01-02T09:00:00",121,15,30.1,30.1,7.9
"34","01-02T10:00:00",117,15.8,34.1,34.1,8.4
"35","01-02T11:00:00",113,16.2,36.9,36.9,8.3
"36","01-02T12:00:00",121,16.2,38.9,38.9,8.5
"37","01-02T13:00:00",124,16.1,39.9,39.9,8.6
"38","01-02T14:00:00",133,16.3,39.9,39.9,8.7
"39","01-02T15:00:00",145,16.5,39.1,39.1,8.6
"40","01-02T16:00:00",130,16.7,37.2,37.2,7.8
"41","01-02T17:00:00",150,16.3,33.3,33.3,7.3
"42","01-02T18:00:00",157,15.8,30.8,30.8,7.2
"43","01-02T19:00:00",159,15.7,29.5,29.5,7.3
"44","01-02T20:00:00",174,15.5,28.9,28.9,7.4
"45","01-02T21:00:00",176,15.4,28.2,28.2,7.5
"46","01-02T22:00:00",162,15,27.6,27.6,7.6
"47","01-02T23:00:00",152,14.7,27.3,27.3,7.8
"48","01-03T00:00:00",154,14.5,27.1,27.1,7.6
"49","01-03T01:00:00",164,14.4,26.6,26.6,7.7
"50","01-03T02:00:00",141,14,26.5,26.5,7.6
"51","01-03T03:00:00",158,13.8,26.2,26.2,7.6
"52","01-03T04:00:00",158,13.5,26.1,26.1,7.5
"53","01-03T05:00:00",143,13.5,26,26,7.4
"54","01-03T06:00:00",127,13.2,25.7,25.7,7.4
"55","01-03T07:00:00",108,13.3,25.8,25.8,7.7
"56","01-03T08:00:00",96,13.5,26.3,26.3,7.7
"57","01-03T09:00:00",121,14.9,30.2,30.2,8
"58","01-03T10:00:00",117,15.7,34.2,34.2,8.5
"59","01-03T11:00:00",116,16.1,37,37,8.5
"60","01-03T12:00:00",126,16.1,39,39,8.6
"61","01-03T13:00:00",127,16.1,39.9,39.9,8.8
"62","01-03T14:00:00",143,16.3,40,40,8.8
"63","01-03T15:00:00",155,16.5,39.1,39.1,8.7
"64","01-03T16:00:00",136,16.7,37.2,37.2,7.9
"65","01-03T17:00:00",150,16.3,33.4,33.4,7.2
"66","01-03T18:00:00",158,15.8,31.1,31.1,7.1
"67","01-03T19:00:00",160,15.6,29.7,29.7,7.3
"68","01-03T20:00:00",167,15.5,29.1,29.1,7.3
"69","01-03T21:00:00",169,15.4,28.4,28.4,7.4
"70","01-03T22:00:00",155,15,27.7,27.7,7.6
"71","01-03T23:00:00",151,14.8,27.4,27.4,7.8
"72","01-04T00:00:00",151,14.5,27.2,27.2,7.6
"73","01-04T01:00:00",157,14.5,26.8,26.8,7.7
"74","01-04T02:00:00",133,14.1,26.7,26.7,7.5
"75","01-04T03:00:00",153,13.9,26.4,26.4,7.6
"76","01-04T04:00:00",155,13.6,26.2,26.2,7.4
"77","01-04T05:00:00",144,13.6,26.1,26.1,7.4
"78","01-04T06:00:00",133,13.3,25.9,25.9,7.4
"79","01-04T07:00:00",110,13.5,26,26,7.7
"80","01-04T08:00:00",98,13.6,26.5,26.5,7.8
"81","01-04T09:00:00",121,15,30.4,30.4,8
"82","01-04T10:00:00",117,15.8,34.4,34.4,8.4
"83","01-04T11:00:00",111,16.2,37.3,37.3,8.3
"84","01-04T12:00:00",126,16.2,39.2,39.2,8.5
"85","01-04T13:00:00",124,16.2,40.2,40.2,8.9
"86","01-04T14:00:00",145,16.4,40.2,40.2,8.8
"87","01-04T15:00:00",152,16.7,39.3,39.3,8.7
"88","01-04T16:00:00",138,17,37.6,37.6,7.9
"89","01-04T17:00:00",151,16.5,33.7,33.7,7.1
"90","01-04T18:00:00",160,15.9,31.4,31.4,7.2
"91","01-04T19:00:00",162,15.8,30,30,7.4
"92","01-04T20:00:00",173,15.7,29.3,29.3,7.3
"93","01-04T21:00:00",175,15.5,28.6,28.6,7.4
"94","01-04T22:00:00",157,15.1,27.8,27.8,7.6
"95","01-04T23:00:00",155,14.9,27.5,27.5,7.7
"96","01-05T00:00:00",151,14.6,27.3,27.3,7.6
"97","01-05T01:00:00",162,14.5,26.8,26.8,7.7
"98","01-05T02:00:00",140,14.2,26.7,26.7,7.5
"99","01-05T03:00:00",159,14,26.4,26.4,7.7
"100","01-05T04:00:00",165,13.7,26.2,26.2,7.5
"101","01-05T05:00:00",157,13.7,26.1,26.1,7.6
"102","01-05T06:00:00",148,13.4,25.9,25.9,7.5
"103","01-05T07:00:00",120,13.5,25.8,25.8,7.7
"104","01-05T08:00:00",108,13.7,26.4,26.4,7.7
"105","01-05T09:00:00",126,15.1,30.3,30.3,7.9
"106","01-05T10:00:00",120,15.9,34.3,34.3,8.5
"107","01-05T11:00:00",118,16.2,37.2,37.2,8.4
"108","01-05T12:00:00",131,16.3,39.1,39.1,8.4
"109","01-05T13:00:00",127,16.2,40.1,40.1,8.8
"110","01-05T14:00:00",147,16.4,40.3,40.3,8.7
"111","01-05T15:00:00",150,16.7,39.3,39.3,8.6
"112","01-05T16:00:00",135,17,37.7,37.7,7.8
"113","01-05T17:00:00",151,16.5,33.8,33.8,7.1
"114","01-05T18:00:00",157,15.9,31.4,31.4,7.2
"115","01-05T19:00:00",157,15.7,29.9,29.9,7.3
"116","01-05T20:00:00",169,15.6,29.1,29.1,7.2
"117","01-05T21:00:00",175,15.5,28.4,28.4,7.3
"118","01-05T22:00:00",153,15,27.6,27.6,7.5
"119","01-05T23:00:00",147,14.8,27.2,27.2,7.6
"120","01-06T00:00:00",144,14.5,27.1,27.1,7.4
"121","01-06T01:00:00",157,14.4,26.7,26.7,7.6
"122","01-06T02:00:00",136,14.2,26.6,26.6,7.3
"123","01-06T03:00:00",153,14,26.3,26.3,7.6
"124","01-06T04:00:00",162,13.7,26.1,26.1,7.5
"125","01-06T05:00:00",150,13.7,26,26,7.6
"126","01-06T06:00:00",139,13.4,25.8,25.8,7.5
"127","01-06T07:00:00",113,13.4,25.8,25.8,7.7
"128","01-06T08:00:00",106,13.6,26.4,26.4,7.8
"129","01-06T09:00:00",124,15,30.3,30.3,7.9
"130","01-06T10:00:00",116,15.8,34.3,34.3,8.3
"131","01-06T11:00:00",116,16.1,37.3,37.3,8.3
"132","01-06T12:00:00",128,16.2,39.1,39.1,8.4
"133","01-06T13:00:00",125,16.2,40.3,40.3,8.7
"134","01-06T14:00:00",145,16.4,40.4,40.4,8.7
"135","01-06T15:00:00",145,16.6,39.3,39.3,8.6
"136","01-06T16:00:00",135,16.9,37.8,37.8,7.9
"137","01-06T17:00:00",147,16.4,34,34,7.1
"138","01-06T18:00:00",148,15.9,31.5,31.5,7.1
"139","01-06T19:00:00",157,15.7,29.9,29.9,7.2
"140","01-06T20:00:00",163,15.6,29.1,29.1,7.1
"141","01-06T21:00:00",171,15.4,28.3,28.3,7.3
"142","01-06T22:00:00",149,15,27.5,27.5,7.5
"143","01-06T23:00:00",138,14.8,27.2,27.2,7.5
"144","01-07T00:00:00",136,14.5,26.9,26.9,7.5
"145","01-07T01:00:00",156,14.3,26.6,26.6,7.6
"146","01-07T02:00:00",131,14.1,26.5,26.5,7.3
"147","01-07T03:00:00",149,13.8,26.2,26.2,7.5
"148","01-07T04:00:00",153,13.5,25.9,25.9,7.5
"149","01-07T05:00:00",142,13.5,25.8,25.8,7.5
"150","01-07T06:00:00",135,13.3,25.6,25.6,7.5
"151","01-07T07:00:00",109,13.3,25.6,25.6,7.6
"152","01-07T08:00:00",106,13.5,26.2,26.2,7.7
"153","01-07T09:00:00",124,14.9,30.2,30.2,7.8
"154","01-07T10:00:00",113,15.7,34.3,34.3,8.2
"155","01-07T11:00:00",113,15.9,37.3,37.3,8.3
"156","01-07T12:00:00",124,16,39.3,39.3,8.3
"157","01-07T13:00:00",115,16,40.4,40.4,8.6
"158","01-07T14:00:00",138,16.1,40.7,40.7,8.7
"159","01-07T15:00:00",136,16.3,39.6,39.6,8.7
"160","01-07T16:00:00",131,16.7,38,38,7.9
"161","01-07T17:00:00",138,16.1,34.3,34.3,7
"162","01-07T18:00:00",143,15.6,31.7,31.7,7.1
"163","01-07T19:00:00",153,15.5,30.1,30.1,7.3
"164","01-07T20:00:00",155,15.4,29.3,29.3,7.2
"165","01-07T21:00:00",171,15.3,28.5,28.5,7.5
"166","01-07T22:00:00",146,14.9,27.7,27.7,7.5
"167","01-07T23:00:00",136,14.7,27.3,27.3,7.5
"168","01-08T00:00:00",137,14.5,27.1,27.1,7.5
"169","01-08T01:00:00",147,14.2,26.7,26.7,7.6
"170","01-08T02:00:00",124,14,26.6,26.6,7.3
"171","01-08T03:00:00",144,13.7,26.3,26.3,7.4
"172","01-08T04:00:00",151,13.4,26,26,7.5
"173","01-08T05:00:00",145,13.4,25.9,25.9,7.6
"174","01-08T06:00:00",134,13.1,25.9,25.9,7.5
"175","01-08T07:00:00",106,13.2,25.9,25.9,7.6
"176","01-08T08:00:00",99,13.3,26.5,26.5,7.8
"177","01-08T09:00:00",124,14.8,30.5,30.5,7.8
"178","01-08T10:00:00",109,15.6,34.5,34.5,8.2
"179","01-08T11:00:00",111,15.8,37.5,37.5,8.4
"180","01-08T12:00:00",124,15.8,39.5,39.5,8.4
"181","01-08T13:00:00",116,15.9,40.5,40.5,8.7
"182","01-08T14:00:00",136,16,40.8,40.8,8.7
"183","01-08T15:00:00",134,16.2,39.9,39.9,8.7
"184","01-08T16:00:00",136,16.7,38.3,38.3,7.9
"185","01-08T17:00:00",133,16.1,34.6,34.6,7.1
"186","01-08T18:00:00",139,15.6,32,32,7.1
"187","01-08T19:00:00",149,15.5,30.3,30.3,7.3
"188","01-08T20:00:00",150,15.4,29.4,29.4,7.3
"189","01-08T21:00:00",175,15.2,28.6,28.6,7.4
"190","01-08T22:00:00",146,14.9,27.7,27.7,7.5
"191","01-08T23:00:00",138,14.7,27.3,27.3,7.5
"192","01-09T00:00:00",141,14.4,27,27,7.6
"193","01-09T01:00:00",158,14.1,26.7,26.7,7.6
"194","01-09T02:00:00",130,14,26.7,26.7,7.3
"195","01-09T03:00:00",146,13.7,26.3,26.3,7.5
"196","01-09T04:00:00",153,13.4,26,26,7.6
"197","01-09T05:00:00",151,13.3,25.8,25.8,7.6
"198","01-09T06:00:00",143,13,25.7,25.7,7.6
"199","01-09T07:00:00",115,13.1,25.8,25.8,7.6
"200","01-09T08:00:00",100,13.2,26.3,26.3,7.8
"201","01-09T09:00:00",119,14.7,30.4,30.4,7.9
"202","01-09T10:00:00",111,15.5,34.2,34.2,8.3
"203","01-09T11:00:00",118,15.6,37.2,37.2,8.4
"204","01-09T12:00:00",125,15.6,39.2,39.2,8.3
"205","01-09T13:00:00",118,15.8,40.2,40.2,8.7
"206","01-09T14:00:00",137,15.9,40.6,40.6,8.8
"207","01-09T15:00:00",124,16,39.7,39.7,8.7
"208","01-09T16:00:00",126,16.5,38.2,38.2,7.9
"209","01-09T17:00:00",128,16.1,34.5,34.5,7.1
"210","01-09T18:00:00",129,15.6,31.9,31.9,7.1
"211","01-09T19:00:00",142,15.4,30.2,30.2,7.3
"212","01-09T20:00:00",145,15.3,29.3,29.3,7.3
