"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"1","01-01T01:00:00",444,20.2,30.3,30.3,12.4
"2","01-01T02:00:00",454,20.1,30,30,12.4
"3","01-01T03:00:00",461,20.2,29.8,29.8,12.5
"4","01-01T04:00:00",460,20.1,29.5,29.5,12.5
"5","01-01T05:00:00",458,20,29.3,29.3,12.5
"6","01-01T06:00:00",452,19.9,29.3,29.3,12.4
"7","01-01T07:00:00",444,19.8,29.2,29.2,12.3
"8","01-01T08:00:00",434,19.9,29.5,29.5,12.5
"9","01-01T09:00:00",448,20.1,30.7,30.7,12.7
"10","01-01T10:00:00",463,20.2,32,32,12.9
"11","01-01T11:00:00",463,20.4,33.2,33.2,13.2
"12","01-01T12:00:00",458,20.7,34.5,34.5,13.4
"13","01-01T13:00:00",492,20.9,35.3,35.3,13.6
"14","01-01T14:00:00",458,20.8,35.9,35.9,13.5
"15","01-01T15:00:00",468,20.9,35.8,35.8,13.6
"16","01-01T16:00:00",452,20.8,35.2,35.2,13.3
"17","01-01T17:00:00",463,20.9,34.3,34.3,12.8
"18","01-01T18:00:00",443,20.9,33.7,33.7,12.9
"19","01-01T19:00:00",463,20.8,33.2,33.2,12.9
"20","01-01T20:00:00",474,20.6,32.6,32.6,13.2
"21","01-01T21:00:00",470,20.5,32,32,13
"22","01-01T22:00:00",461,20.4,31.5,31.5,12.8
"23","01-01T23:00:00",446,20.1,31,31,12.7
"24","01-02T00:00:00",444,19,29.9,29.9,12.9
"25","01-02T01:00:00",452,19.8,30,30,12.5
"26","01-02T02:00:00",458,19.7,29.7,29.7,12.4
"27","01-02T03:00:00",457,19.8,29.5,29.5,12.6
"28","01-02T04:00:00",460,19.8,29.2,29.2,12.5
"29","01-02T05:00:00",460,19.7,29,29,12.6
"30","01-02T06:00:00",462,19.6,29,29,12.5
"31","01-02T07:00:00",455,19.5,28.9,28.9,12.3
"32","01-02T08:00:00",445,19.6,29.3,29.3,12.5
"33","01-02T09:00:00",448,19.8,30.4,30.4,12.7
"34","01-02T10:00:00",460,19.9,31.7,31.7,13
"35","01-02T11:00:00",467,20.1,33,33,13.3
"36","01-02T12:00:00",458,20.5,34.2,34.2,13.5
"37","01-02T13:00:00",486,20.7,35.1,35.1,13.6
"38","01-02T14:00:00",453,20.6,35.6,35.6,13.6
"39","01-02T15:00:00",468,20.7,35.6,35.6,13.6
"40","01-02T16:00:00",451,20.6,35,35,13.3
"41","01-02T17:00:00",458,20.7,34.2,34.2,12.8
"42","01-02T18:00:00",431,20.8,33.5,33.5,12.8
"43","01-02T19:00:00",454,20.6,33,33,12.8
"44","01-02T20:00:00",479,20.4,32.4,32.4,13
"45","01-02T21:00:00",477,20.3,31.8,31.8,12.9
"46","01-02T22:00:00",464,20.2,31.3,31.3,12.7
"47","01-02T23:00:00",460,20,30.9,30.9,12.7
"48","01-03T00:00:00",463,19,29.7,29.7,12.8
"49","01-03T01:00:00",472,19.7,29.9,29.9,12.4
"50","01-03T02:00:00",469,19.6,29.5,29.5,12.3
"51","01-03T03:00:00",461,19.6,29.3,29.3,12.4
"52","01-03T04:00:00",466,19.5,29,29,12.5
"53","01-03T05:00:00",463,19.4,28.8,28.8,12.6
"54","01-03T06:00:00",463,19.4,28.8,28.8,12.3
"55","01-03T07:00:00",454,19.3,28.7,28.7,12.2
"56","01-03T08:00:00",451,19.4,29,29,12.4
"57","01-03T09:00:00",446,19.6,30.1,30.1,12.7
"58","01-03T10:00:00",459,19.7,31.5,31.5,12.9
"59","01-03T11:00:00",466,20,32.7,32.7,13.3
"60","01-03T12:00:00",461,20.3,34,34,13.4
"61","01-03T13:00:00",492,20.5,34.9,34.9,13.5
"62","01-03T14:00:00",445,20.4,35.4,35.4,13.5
"63","01-03T15:00:00",465,20.5,35.4,35.4,13.6
"64","01-03T16:00:00",449,20.4,34.8,34.8,13.2
"65","01-03T17:00:00",459,20.4,34,34,12.8
"66","01-03T18:00:00",440,20.5,33.3,33.3,12.7
"67","01-03T19:00:00",449,20.4,32.8,32.8,12.7
"68","01-03T20:00:00",481,20.2,32.2,32.2,12.8
"69","01-03T21:00:00",467,20.1,31.6,31.6,12.7
"70","01-03T22:00:00",448,20,31.1,31.1,12.6
"71","01-03T23:00:00",458,19.8,30.7,30.7,12.6
"72","01-04T00:00:00",466,19,29.7,29.7,12.9
"73","01-04T01:00:00",469,19.5,29.7,29.7,12.3
"74","01-04T02:00:00",469,19.5,29.4,29.4,12.3
