"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"1","01-01T01:00:00",538,18.7,24.2,24.2,10.2
"2","01-01T02:00:00",534,18.6,23.9,23.9,10
"3","01-01T03:00:00",551,18.5,23.7,23.7,10
"4","01-01T04:00:00",556,18.4,23.5,23.5,9.8
"5","01-01T05:00:00",573,18.2,23.2,23.2,9.9
"6","01-01T06:00:00",559,18.1,23.1,23.1,9.8
"7","01-01T07:00:00",550,18,23,23,9.9
"8","01-01T08:00:00",560,18.2,23.3,23.3,10
"9","01-01T09:00:00",551,18.8,24.6,24.6,10.9
"10","01-01T10:00:00",538,19.3,26.1,26.1,11.4
"11","01-01T11:00:00",544,19.7,27.6,27.6,11.9
"12","01-01T12:00:00",540,20.1,28.8,28.8,12.2
"13","01-01T13:00:00",551,20.4,29.5,29.5,12
"14","01-01T14:00:00",540,20.6,30,30,12
"15","01-01T15:00:00",572,20.6,29.9,29.9,12
"16","01-01T16:00:00",547,20.5,29.2,29.2,11.5
"17","01-01T17:00:00",560,20.5,28.1,28.1,11
"18","01-01T18:00:00",580,20.5,27.4,27.4,10.8
"19","01-01T19:00:00",583,20.3,26.8,26.8,10.8
"20","01-01T20:00:00",575,20.1,26.4,26.4,10.9
"21","01-01T21:00:00",580,19.9,26,26,10.7
"22","01-01T22:00:00",587,19.7,25.6,25.6,10.6
"23","01-01T23:00:00",549,19.4,25.2,25.2,10.4
"24","01-02T00:00:00",537,19,24.7,24.7,10.3
"25","01-02T01:00:00",536,18.8,24.4,24.4,10.2
"26","01-02T02:00:00",542,18.7,24.1,24.1,10
"27","01-02T03:00:00",555,18.7,23.9,23.9,10
"28","01-02T04:00:00",565,18.6,23.7,23.7,9.9
"29","01-02T05:00:00",578,18.4,23.4,23.4,9.9
"30","01-02T06:00:00",564,18.3,23.2,23.2,9.7
"31","01-02T07:00:00",552,18.2,23.2,23.2,9.8
"32","01-02T08:00:00",570,18.3,23.4,23.4,10
"33","01-02T09:00:00",569,18.9,24.7,24.7,10.8
"34","01-02T10:00:00",544,19.4,26.2,26.2,11.3
"35","01-02T11:00:00",550,19.8,27.7,27.7,11.9
"36","01-02T12:00:00",554,20.2,28.8,28.8,12.1
"37","01-02T13:00:00",569,20.6,29.6,29.6,12
"38","01-02T14:00:00",559,20.8,30,30,12
"39","01-02T15:00:00",584,20.8,29.9,29.9,11.9
"40","01-02T16:00:00",564,20.8,29.3,29.3,11.5
"41","01-02T17:00:00",574,20.7,28.3,28.3,11.1
"42","01-02T18:00:00",594,20.7,27.5,27.5,10.8
"43","01-02T19:00:00",595,20.5,27,27,10.9
"44","01-02T20:00:00",584,20.3,26.6,26.6,10.9
"45","01-02T21:00:00",584,20.1,26.1,26.1,10.8
"46","01-02T22:00:00",596,19.8,25.8,25.8,10.7
"47","01-02T23:00:00",557,19.6,25.4,25.4,10.5
"48","01-03T00:00:00",545,19.1,24.9,24.9,10.5
"49","01-03T01:00:00",530,18.9,24.5,24.5,10.3
"50","01-03T02:00:00",541,18.8,24.2,24.2,10.2
"51","01-03T03:00:00",552,18.7,24,24,10.1
"52","01-03T04:00:00",560,18.6,23.7,23.7,10
"53","01-03T05:00:00",579,18.5,23.4,23.4,10
"54","01-03T06:00:00",568,18.4,23.3,23.3,9.8
"55","01-03T07:00:00",546,18.2,23.2,23.2,9.9
"56","01-03T08:00:00",560,18.3,23.4,23.4,10.1
"57","01-03T09:00:00",565,18.9,24.7,24.7,10.9
