"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"1","01-01T01:00:00",218,11.4,24.8,24.8,8.2
"2","01-01T02:00:00",205,11.2,24.6,24.6,8.3
"3","01-01T03:00:00",191,11.1,24.4,24.4,8.6
"4","01-01T04:00:00",180,10.8,24.6,24.6,8.4
"5","01-01T05:00:00",179,10.5,24.4,24.4,9.1
"6","01-01T06:00:00",175,10.3,24.5,24.5,9.1
"7","01-01T07:00:00",164,10.1,24.5,24.5,8.7
"8","01-01T08:00:00",155,10.5,25.9,25.8,8.4
"9","01-01T09:00:00",167,12.7,30.8,30.8,7.8
"10","01-01T10:00:00",178,12.9,34.9,34.9,8.1
"11","01-01T11:00:00",176,12.8,37.4,37.4,8.8
"12","01-01T12:00:00",178,12.8,38.8,38.8,9.4
"13","01-01T13:00:00",164,12.9,39.8,39.8,10.2
"14","01-01T14:00:00",180,13.1,40,40,10.8
"15","01-01T15:00:00",190,13.4,39.5,39.4,10.8
"16","01-01T16:00:00",171,13.6,37.6,37.5,9.8
"17","01-01T17:00:00",195,13.3,33.4,33.3,8.7
"18","01-01T18:00:00",192,13.3,30.5,30.5,8.3
"19","01-01T19:00:00",183,13,28.7,28.7,8.2
"20","01-01T20:00:00",192,12.7,27.4,27.4,8.2
"21","01-01T21:00:00",195,12.5,26.5,26.5,8.1
"22","01-01T22:00:00",206,12.4,26,26,8.1
"23","01-01T23:00:00",213,12.2,25.5,25.5,8.5
"24","01-02T00:00:00",215,12,25,25,8.2
"25","01-02T01:00:00",219,11.6,25.3,25.3,8.2
"26","01-02T02:00:00",201,11.4,25,25,8.2
"27","01-02T03:00:00",191,11.2,24.9,24.9,8.6
"28","01-02T04:00:00",179,10.9,25,25,8.5
"29","01-02T05:00:00",180,10.7,24.9,24.9,9.1
"30","01-02T06:00:00",175,10.4,24.8,24.8,9.1
"31","01-02T07:00:00",154,10.2,24.7,24.7,8.8
"32","01-02T08:00:00",154,10.6,26.1,26.1,8.4
"33","01-02T09:00:00",159,12.7,31.1,31.1,7.9
"34","01-02T10:00:00",178,13,35.1,35.1,8.2
"35","01-02T11:00:00",170,12.9,37.5,37.5,9
"36","01-02T12:00:00",175,12.9,39,39,9.5
"37","01-02T13:00:00",162,13,39.9,39.9,10.3
"38","01-02T14:00:00",176,13.2,40.2,40.2,11
"39","01-02T15:00:00",189,13.4,39.6,39.6,10.9
"40","01-02T16:00:00",173,13.7,37.7,37.7,10
"41","01-02T17:00:00",199,13.4,33.5,33.5,9
"42","01-02T18:00:00",196,13.4,30.7,30.7,8.4
"43","01-02T19:00:00",188,13.1,28.8,28.8,8.4
"44","01-02T20:00:00",196,12.8,27.6,27.6,8.3
"45","01-02T21:00:00",207,12.6,26.6,26.6,8.1
"46","01-02T22:00:00",216,12.5,26,26,8.1
"47","01-02T23:00:00",224,12.3,25.6,25.6,8.5
"48","01-03T00:00:00",222,12,25,25,8.1
"49","01-03T01:00:00",231,11.6,25.3,25.3,8.2
"50","01-03T02:00:00",203,11.4,25,25,8.2
"51","01-03T03:00:00",196,11.2,24.9,24.9,8.5
"52","01-03T04:00:00",182,10.9,24.9,24.9,8.4
"53","01-03T05:00:00",185,10.7,24.9,24.9,9
"54","01-03T06:00:00",170,10.4,24.7,24.7,9
"55","01-03T07:00:00",156,10.2,24.7,24.7,8.6
"56","01-03T08:00:00",154,10.6,26.1,26.1,8.3
"57","01-03T09:00:00",159,12.8,31.1,31.1,7.7
"58","01-03T10:00:00",175,12.9,35.1,35.1,8.1
"59","01-03T11:00:00",173,12.8,37.5,37.5,9
"60","01-03T12:00:00",179,12.9,39,39,9.5
"61","01-03T13:00:00",165,13,40,40,10.3
"62","01-03T14:00:00",175,13.2,40.3,40.3,10.8
"63","01-03T15:00:00",187,13.5,39.8,39.7,10.8
"64","01-03T16:00:00",165,13.8,37.9,37.8,10
"65","01-03T17:00:00",202,13.6,33.7,33.7,8.9
"66","01-03T18:00:00",198,13.5,30.9,30.9,8.4
"67","01-03T19:00:00",188,13.3,28.9,28.9,8.3
"68","01-03T20:00:00",199,13,27.7,27.7,8.3
"69","01-03T21:00:00",209,12.8,26.8,26.8,8.1
"70","01-03T22:00:00",216,12.7,26.2,26.2,8.1
"71","01-03T23:00:00",221,12.4,25.8,25.8,8.4
