"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"1","01-01T01:00:00",457,42.7,48.3,48.3,6.4
"2","01-01T02:00:00",472,42.5,47.8,47.8,6.2
"3","01-01T03:00:00",486,42.4,47.4,47.4,6.3
"4","01-01T04:00:00",484,42.2,47,47,6.1
"5","01-01T05:00:00",493,42,46.7,46.7,6.4
"6","01-01T06:00:00",501,41.9,46.4,46.4,6.3
"7","01-01T07:00:00",487,41.8,46.3,46.3,6.5
"8","01-01T08:00:00",517,42.1,46.7,46.7,6.9
"9","01-01T09:00:00",546,43.1,49.3,49.3,8.1
"10","01-01T10:00:00",529,43.3,52.2,52.2,9.2
"11","01-01T11:00:00",480,43.4,54.9,54.9,9.6
"12","01-01T12:00:00",490,43.4,57.1,57.1,9.7
"13","01-01T13:00:00",473,43.4,58.8,58.8,9.9
"14","01-01T14:00:00",435,43.2,59.8,59.8,10.2
"15","01-01T15:00:00",451,43.1,60.2,60.1,10.2
"16","01-01T16:00:00",451,43.1,59.8,59.8,9.9
"17","01-01T17:00:00",430,43.3,58.2,58.2,9.2
"18","01-01T18:00:00",456,44,55.2,55.2,7.8
"19","01-01T19:00:00",477,44.1,53.3,53.3,7.5
"20","01-01T20:00:00",480,44.1,52.1,52.1,7.4
"21","01-01T21:00:00",467,43.8,51.3,51.3,7.5
"22","01-01T22:00:00",479,43.6,50.5,50.5,7.2
"23","01-01T23:00:00",490,43.4,49.8,49.8,6.8
"24","01-02T00:00:00",470,43.2,49,49,6.6
"25","01-02T01:00:00",460,43.1,48.5,48.5,6.3
"26","01-02T02:00:00",477,43,48,48,6.2
"27","01-02T03:00:00",493,42.8,47.6,47.6,6.2
"28","01-02T04:00:00",493,42.7,47.3,47.3,6
"29","01-02T05:00:00",500,42.5,47,47,6.3
"30","01-02T06:00:00",506,42.4,46.7,46.7,6.3
"31","01-02T07:00:00",487,42.3,46.5,46.5,6.4
"32","01-02T08:00:00",509,42.6,47,47,6.8
"33","01-02T09:00:00",543,43.7,49.6,49.6,8
"34","01-02T10:00:00",529,43.9,52.6,52.6,9.2
"35","01-02T11:00:00",480,44.1,55.3,55.3,9.8
"36","01-02T12:00:00",483,44.1,57.5,57.5,9.8
"37","01-02T13:00:00",460,44,59.2,59.2,10
"38","01-02T14:00:00",420,43.8,60.3,60.3,10.3
"39","01-02T15:00:00",437,43.7,60.6,60.6,10.3
"40","01-02T16:00:00",439,43.7,60.2,60.2,10
"41","01-02T17:00:00",424,43.9,58.7,58.7,9.3
"42","01-02T18:00:00",448,44.5,55.7,55.7,7.9
"43","01-02T19:00:00",471,44.6,53.7,53.7,7.5
"44","01-02T20:00:00",473,44.6,52.5,52.5,7.4
"45","01-02T21:00:00",467,44.4,51.7,51.7,7.5
"46","01-02T22:00:00",483,44.1,50.9,50.9,7.3
"47","01-02T23:00:00",494,44,50.2,50.2,6.9
"48","01-03T00:00:00",468,43.7,49.4,49.4,6.6
"49","01-03T01:00:00",462,43.6,48.9,48.9,6.4
"50","01-03T02:00:00",474,43.4,48.4,48.4,6.2
"51","01-03T03:00:00",493,43.2,48,48,6.2
"52","01-03T04:00:00",489,43,47.6,47.6,6
"53","01-03T05:00:00",495,42.8,47.3,47.3,6.2
"54","01-03T06:00:00",507,42.7,47,47,6.3
"55","01-03T07:00:00",486,42.5,46.8,46.8,6.4
"56","01-03T08:00:00",506,42.8,47.2,47.2,6.8
"57","01-03T09:00:00",535,43.7,49.8,49.8,8.1
"58","01-03T10:00:00",524,43.9,52.7,52.7,9.3
"59","01-03T11:00:00",475,44,55.4,55.4,9.9
"60","01-03T12:00:00",487,43.9,57.6,57.6,9.8
"61","01-03T13:00:00",453,43.8,59.3,59.3,10.2
"62","01-03T14:00:00",413,43.6,60.4,60.4,10.4
"63","01-03T15:00:00",431,43.5,60.7,60.7,10.3
"64","01-03T16:00:00",430,43.4,60.3,60.3,10.2
"65","01-03T17:00:00",416,43.6,58.8,58.8,9.5
"66","01-03T18:00:00",436,44.2,55.8,55.8,8
"67","01-03T19:00:00",450,44.3,53.8,53.8,7.6
"68","01-03T20:00:00",454,44.3,52.6,52.6,7.5
"69","01-03T21:00:00",454,44.1,51.7,51.7,7.6
"70","01-03T22:00:00",464,43.9,50.9,50.9,7.4
"71","01-03T23:00:00",485,43.8,50.2,50.2,6.9
"72","01-04T00:00:00",464,43.5,49.4,49.4,6.7
"73","01-04T01:00:00",451,43.4,48.9,48.9,6.5
"74","01-04T02:00:00",473,43.2,48.3,48.3,6.3
"75","01-04T03:00:00",483,42.9,47.9,47.9,6.2
"76","01-04T04:00:00",478,42.8,47.5,47.5,6.1
"77","01-04T05:00:00",488,42.5,47.1,47.1,6.2
"78","01-04T06:00:00",505,42.4,46.8,46.8,6.2
"79","01-04T07:00:00",486,42.2,46.6,46.6,6.4
"80","01-04T08:00:00",508,42.6,47.1,47.1,6.8
"81","01-04T09:00:00",533,43.5,49.6,49.6,8.1
"82","01-04T10:00:00",524,43.6,52.5,52.5,9.3
"83","01-04T11:00:00",473,43.7,55.2,55.2,9.9
"84","01-04T12:00:00",481,43.6,57.5,57.4,9.8
"85","01-04T13:00:00",451,43.4,59.2,59.2,10.1
"86","01-04T14:00:00",412,43.1,60.3,60.3,10.4
"87","01-04T15:00:00",422,43.1,60.7,60.7,10.2
"88","01-04T16:00:00",417,43,60.3,60.3,10.1
"89","01-04T17:00:00",396,43.2,58.8,58.8,9.5
"90","01-04T18:00:00",425,43.8,55.8,55.8,8
"91","01-04T19:00:00",438,44,53.7,53.7,7.5
"92","01-04T20:00:00",445,44,52.5,52.5,7.6
"93","01-04T21:00:00",445,43.9,51.6,51.6,7.5
"94","01-04T22:00:00",457,43.7,50.8,50.8,7.5
"95","01-04T23:00:00",477,43.6,50.1,50.1,6.9
"96","01-05T00:00:00",459,43.3,49.2,49.2,6.6
"97","01-05T01:00:00",449,43.2,48.7,48.7,6.6
"98","01-05T02:00:00",466,43,48.1,48.1,6.3
"99","01-05T03:00:00",478,42.8,47.8,47.8,6.3
"100","01-05T04:00:00",473,42.7,47.4,47.4,6.1
"101","01-05T05:00:00",482,42.4,47,47,6.3
"102","01-05T06:00:00",496,42.3,46.8,46.8,6.2
"103","01-05T07:00:00",481,42.1,46.6,46.6,6.5
"104","01-05T08:00:00",505,42.5,47,47,6.9
"105","01-05T09:00:00",539,43.4,49.6,49.6,8.1
"106","01-05T10:00:00",534,43.5,52.5,52.5,9.2
"107","01-05T11:00:00",484,43.6,55.2,55.2,9.9
"108","01-05T12:00:00",494,43.4,57.5,57.5,9.8
"109","01-05T13:00:00",463,43.3,59.2,59.2,10.1
"110","01-05T14:00:00",426,43.1,60.3,60.3,10.3
"111","01-05T15:00:00",432,43,60.7,60.6,10.2
"112","01-05T16:00:00",423,43,60.3,60.3,10.1
"113","01-05T17:00:00",407,43.2,58.9,58.9,9.4
"114","01-05T18:00:00",438,43.8,55.8,55.8,8
"115","01-05T19:00:00",443,44,53.7,53.7,7.5
"116","01-05T20:00:00",455,44.1,52.5,52.5,7.5
"117","01-05T21:00:00",453,43.9,51.6,51.6,7.5
"118","01-05T22:00:00",460,43.7,50.8,50.8,7.4
"119","01-05T23:00:00",491,43.6,50.1,50.1,6.9
"120","01-06T00:00:00",472,43.3,49.2,49.2,6.6
"121","01-06T01:00:00",457,43.2,48.7,48.7,6.5
"122","01-06T02:00:00",465,43,48.1,48.1,6.3
"123","01-06T03:00:00",478,42.8,47.7,47.7,6.3
"124","01-06T04:00:00",472,42.6,47.3,47.3,6.1
"125","01-06T05:00:00",494,42.3,46.9,46.9,6.3
"126","01-06T06:00:00",500,42.2,46.7,46.7,6.3
"127","01-06T07:00:00",486,42,46.5,46.5,6.5
"128","01-06T08:00:00",505,42.3,46.9,46.9,6.9
"129","01-06T09:00:00",538,43.1,49.5,49.5,8.1
"130","01-06T10:00:00",528,43.2,52.4,52.4,9.3
"131","01-06T11:00:00",486,43.3,55,55,9.9
"132","01-06T12:00:00",494,43.1,57.3,57.3,9.9
"133","01-06T13:00:00",461,43,58.9,58.9,10.2
"134","01-06T14:00:00",427,42.8,60.1,60.1,10.4
"135","01-06T15:00:00",433,42.7,60.4,60.4,10.2
"136","01-06T16:00:00",420,42.7,60.1,60.1,10.2
"137","01-06T17:00:00",405,42.8,58.7,58.7,9.5
"138","01-06T18:00:00",436,43.5,55.6,55.6,8.1
"139","01-06T19:00:00",438,43.7,53.6,53.5,7.6
"140","01-06T20:00:00",456,43.7,52.4,52.4,7.6
"141","01-06T21:00:00",454,43.5,51.4,51.4,7.5
"142","01-06T22:00:00",458,43.3,50.6,50.6,7.4
"143","01-06T23:00:00",489,43.1,49.8,49.8,6.9
"144","01-07T00:00:00",474,42.9,49,49,6.6
"145","01-07T01:00:00",448,42.7,48.4,48.4,6.5
"146","01-07T02:00:00",465,42.6,47.8,47.8,6.3
"147","01-07T03:00:00",476,42.3,47.4,47.4,6.3
"148","01-07T04:00:00",463,42.1,46.9,46.9,6.2
"149","01-07T05:00:00",486,41.8,46.6,46.6,6.3
"150","01-07T06:00:00",492,41.7,46.3,46.3,6.3
"151","01-07T07:00:00",479,41.5,46.1,46.1,6.5
"152","01-07T08:00:00",493,41.7,46.5,46.5,6.9
"153","01-07T09:00:00",530,42.6,49.1,49.1,8.2
"154","01-07T10:00:00",511,42.7,52.1,52.1,9.3
"155","01-07T11:00:00",477,42.8,54.8,54.8,9.9
"156","01-07T12:00:00",480,42.7,57.1,57.1,10
"157","01-07T13:00:00",447,42.5,58.8,58.8,10.2
"158","01-07T14:00:00",416,42.3,60,59.9,10.4
"159","01-07T15:00:00",414,42.2,60.3,60.3,10.2
"160","01-07T16:00:00",417,42.1,60,60,10.2
