"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"1","01-01T01:00:00",157,59.6,65.5,65.5,7.1
"2","01-01T02:00:00",178,59.4,64.9,64.9,6.8
"3","01-01T03:00:00",179,59.3,64.4,64.4,6.7
"4","01-01T04:00:00",182,59.2,64,64,6.5
"5","01-01T05:00:00",170,59,63.7,63.7,6.5
"6","01-01T06:00:00",155,58.8,63.5,63.5,6.2
"7","01-01T07:00:00",145,58.6,63.3,63.3,6.5
"8","01-01T08:00:00",153,59,64.3,64.3,6.9
"9","01-01T09:00:00",143,59.4,67.5,67.5,8.6
"10","01-01T10:00:00",140,59.5,70.4,70.3,10.5
"11","01-01T11:00:00",128,59.5,72.7,72.3,11.3
"12","01-01T12:00:00",142,59.4,74.3,73.6,11.6
"13","01-01T13:00:00",150,59.3,75.1,74.3,11.8
"14","01-01T14:00:00",148,59.3,75.3,74.6,11.9
"15","01-01T15:00:00",133,59.2,75.1,74.5,11.7
"16","01-01T16:00:00",164,59.2,74.1,73.7,11.6
"17","01-01T17:00:00",163,59.3,72.6,72.4,10.7
"18","01-01T18:00:00",175,59.5,70.6,70.6,9.4
"19","01-01T19:00:00",168,59.7,69.4,69.4,8.3
"20","01-01T20:00:00",161,59.8,68.6,68.6,8.1
"21","01-01T21:00:00",141,59.9,67.9,67.9,7.7
"22","01-01T22:00:00",139,59.8,67.3,67.3,7.5
"23","01-01T23:00:00",154,59.8,66.6,66.6,7.3
"24","01-02T00:00:00",142,60,65.9,65.9,7.4
"25","01-02T01:00:00",151,59.4,65.3,65.3,6.9
"26","01-02T02:00:00",173,59.2,64.7,64.7,6.7
"27","01-02T03:00:00",183,59.1,64.2,64.2,6.5
"28","01-02T04:00:00",191,59,63.8,63.8,6.3
"29","01-02T05:00:00",174,58.8,63.5,63.5,6.3
"30","01-02T06:00:00",161,58.6,63.3,63.3,6.1
"31","01-02T07:00:00",156,58.4,63.2,63.2,6.5
"32","01-02T08:00:00",158,58.8,64.2,64.2,6.8
"33","01-02T09:00:00",145,59.3,67.4,67.4,8.6
"34","01-02T10:00:00",144,59.4,70.3,70.2,10.5
"35","01-02T11:00:00",135,59.4,72.6,72.2,11.3
"36","01-02T12:00:00",142,59.3,74.2,73.6,11.5
"37","01-02T13:00:00",155,59.2,75,74.3,11.7
"38","01-02T14:00:00",156,59.1,75.2,74.5,11.8
"39","01-02T15:00:00",144,59.1,75.1,74.4,11.6
"40","01-02T16:00:00",168,59,74,73.7,11.6
"41","01-02T17:00:00",164,59.2,72.6,72.4,10.7
"42","01-02T18:00:00",177,59.3,70.6,70.5,9.4
"43","01-02T19:00:00",168,59.5,69.4,69.4,8.3
"44","01-02T20:00:00",159,59.6,68.6,68.6,8.2
"45","01-02T21:00:00",141,59.7,67.8,67.8,7.8
"46","01-02T22:00:00",151,59.6,67.2,67.2,7.5
"47","01-02T23:00:00",148,59.5,66.5,66.5,7.3
"48","01-03T00:00:00",131,60,66,66,7.4
"49","01-03T01:00:00",151,59.2,65.3,65.3,6.9
"50","01-03T02:00:00",176,59,64.7,64.7,6.7
"51","01-03T03:00:00",177,58.9,64.2,64.2,6.5
"52","01-03T04:00:00",189,58.8,63.8,63.8,6.3
"53","01-03T05:00:00",170,58.6,63.5,63.5,6.3
"54","01-03T06:00:00",155,58.5,63.3,63.3,6.1
"55","01-03T07:00:00",154,58.3,63.2,63.2,6.4
"56","01-03T08:00:00",158,58.7,64.2,64.2,6.8
"57","01-03T09:00:00",143,59.3,67.5,67.5,8.6
"58","01-03T10:00:00",140,59.4,70.4,70.2,10.4
"59","01-03T11:00:00",133,59.4,72.7,72.3,11.2
