"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"1","01-01T01:00:00",445,23.7,33.6,33.6,11.9
"2","01-01T02:00:00",443,23.7,33.4,33.4,11.7
"3","01-01T03:00:00",455,23.8,33.1,33.1,11.4
"4","01-01T04:00:00",451,23.7,32.8,32.8,11.3
"5","01-01T05:00:00",455,23.5,32.7,32.7,11.5
"6","01-01T06:00:00",457,23.5,32.5,32.5,11.6
"7","01-01T07:00:00",408,23.4,32.5,32.5,11.4
"8","01-01T08:00:00",407,23.6,32.9,32.9,11.9
"9","01-01T09:00:00",414,23.9,34.1,34.1,12.5
"10","01-01T10:00:00",402,24,35.4,35.4,13
"11","01-01T11:00:00",405,24.1,36.7,36.7,13.1
"12","01-01T12:00:00",420,24.2,37.7,37.7,13.1
"13","01-01T13:00:00",412,24.3,38.4,38.4,13.2
"14","01-01T14:00:00",408,24.4,38.8,38.8,13.3
"15","01-01T15:00:00",414,24.3,38.7,38.7,13.2
"16","01-01T16:00:00",398,24.2,38.1,38.1,12.9
"17","01-01T17:00:00",407,24.2,37,37,12.9
"18","01-01T18:00:00",395,24,36.5,36.5,12.8
"19","01-01T19:00:00",428,24,36.2,36.2,12.9
"20","01-01T20:00:00",423,23.8,35.7,35.7,13
"21","01-01T21:00:00",424,23.7,35.1,35.1,12.7
"22","01-01T22:00:00",438,23.7,34.7,34.7,12.4
"23","01-01T23:00:00",424,23.6,34.2,34.2,12.1
"24","01-02T00:00:00",429,22.7,32.9,32.9,12
"25","01-02T01:00:00",442,23.5,33.4,33.4,11.9
"26","01-02T02:00:00",456,23.5,33.2,33.2,11.7
"27","01-02T03:00:00",463,23.6,32.9,32.9,11.4
"28","01-02T04:00:00",460,23.5,32.6,32.6,11.3
"29","01-02T05:00:00",461,23.4,32.5,32.5,11.5
"30","01-02T06:00:00",472,23.3,32.4,32.4,11.6
"31","01-02T07:00:00",417,23.3,32.3,32.3,11.5
"32","01-02T08:00:00",407,23.5,32.7,32.7,11.8
"33","01-02T09:00:00",419,23.7,33.9,33.9,12.5
"34","01-02T10:00:00",406,23.9,35.3,35.3,13.1
"35","01-02T11:00:00",400,24,36.5,36.5,13.2
"36","01-02T12:00:00",418,24.1,37.6,37.6,13.1
"37","01-02T13:00:00",411,24.2,38.3,38.3,13.4
"38","01-02T14:00:00",410,24.3,38.7,38.7,13.4
"39","01-02T15:00:00",417,24.3,38.6,38.6,13.1
"40","01-02T16:00:00",397,24.1,38,38,12.8
"41","01-02T17:00:00",413,24,37,37,12.9
"42","01-02T18:00:00",397,23.9,36.5,36.5,12.9
"43","01-02T19:00:00",420,23.9,36.1,36.1,12.8
"44","01-02T20:00:00",422,23.7,35.7,35.7,12.9
"45","01-02T21:00:00",420,23.5,35,35,12.6
"46","01-02T22:00:00",444,23.5,34.6,34.6,12.5
"47","01-02T23:00:00",422,23.4,34.2,34.2,12.1
"48","01-03T00:00:00",429,22.7,32.9,32.9,12
"49","01-03T01:00:00",450,23.4,33.3,33.3,11.9
"50","01-03T02:00:00",459,23.4,33.1,33.1,11.7
"51","01-03T03:00:00",466,23.5,32.8,32.8,11.3
"52","01-03T04:00:00",469,23.4,32.6,32.6,11.2
"53","01-03T05:00:00",467,23.3,32.4,32.4,11.4
"54","01-03T06:00:00",475,23.2,32.3,32.3,11.5
"55","01-03T07:00:00",414,23.2,32.3,32.3,11.4
"56","01-03T08:00:00",403,23.4,32.6,32.6,11.8
"57","01-03T09:00:00",413,23.7,33.9,33.9,12.5
"58","01-03T10:00:00",400,23.8,35.2,35.2,13
"59","01-03T11:00:00",394,23.9,36.4,36.4,13.1
"60","01-03T12:00:00",418,24,37.5,37.5,13.1
"61","01-03T13:00:00",402,24.1,38.2,38.2,13.3
"62","01-03T14:00:00",400,24.2,38.6,38.6,13.3
"63","01-03T15:00:00",414,24.1,38.5,38.5,13.1
"64","01-03T16:00:00",400,24.1,37.9,37.9,12.7
"65","01-03T17:00:00",413,24,36.8,36.8,12.8
"66","01-03T18:00:00",400,23.8,36.3,36.3,12.7
"67","01-03T19:00:00",416,23.8,36,36,12.6
"68","01-03T20:00:00",417,23.8,35.5,35.5,12.7
"69","01-03T21:00:00",416,23.5,34.9,34.9,12.5
"70","01-03T22:00:00",444,23.6,34.5,34.5,12.2
"71","01-03T23:00:00",423,23.5,34.1,34.1,12
"72","01-04T00:00:00",427,22.9,32.9,32.9,11.9
"73","01-04T01:00:00",444,23.4,33.2,33.2,11.9
"74","01-04T02:00:00",460,23.3,33,33,11.7
"75","01-04T03:00:00",463,23.4,32.7,32.7,11.3
"76","01-04T04:00:00",470,23.3,32.4,32.4,11.1
"77","01-04T05:00:00",469,23.2,32.3,32.3,11.4
"78","01-04T06:00:00",483,23.1,32.2,32.2,11.6
"79","01-04T07:00:00",417,23.1,32.1,32.1,11.4
"80","01-04T08:00:00",403,23.4,32.5,32.5,11.7
"81","01-04T09:00:00",414,23.6,33.8,33.8,12.5
"82","01-04T10:00:00",404,23.8,35.1,35.1,13
"83","01-04T11:00:00",399,23.9,36.3,36.3,13.2
"84","01-04T12:00:00",426,23.9,37.3,37.3,13.2
"85","01-04T13:00:00",414,24,38,38,13.4
"86","01-04T14:00:00",402,24.1,38.4,38.4,13.6
"87","01-04T15:00:00",417,24,38.4,38.4,13.2
"88","01-04T16:00:00",391,24,37.8,37.8,12.9
"89","01-04T17:00:00",411,23.9,36.7,36.7,12.9
"90","01-04T18:00:00",393,23.8,36.2,36.2,12.9
"91","01-04T19:00:00",410,23.6,35.9,35.9,12.7
"92","01-04T20:00:00",417,23.6,35.4,35.4,12.9
"93","01-04T21:00:00",418,23.3,34.8,34.8,12.6
"94","01-04T22:00:00",429,23.3,34.3,34.3,12.3
"95","01-04T23:00:00",419,23.2,33.9,33.9,12.1
"96","01-05T00:00:00",421,22.5,32.7,32.7,12.1
"97","01-05T01:00:00",443,23.1,33.1,33.1,12.1
"98","01-05T02:00:00",454,23.1,32.9,32.9,11.9
"99","01-05T03:00:00",456,23.2,32.6,32.6,11.4
"100","01-05T04:00:00",464,23.1,32.3,32.3,11.3
"101","01-05T05:00:00",469,23,32.2,32.2,11.6
"102","01-05T06:00:00",479,22.9,32,32,11.8
"103","01-05T07:00:00",418,22.9,32,32,11.6
"104","01-05T08:00:00",407,23.1,32.3,32.3,11.9
"105","01-05T09:00:00",411,23.3,33.5,33.5,12.7
"106","01-05T10:00:00",401,23.5,34.9,34.9,13.1
"107","01-05T11:00:00",396,23.7,36.1,36.1,13.3
"108","01-05T12:00:00",417,23.7,37.1,37.1,13.2
"109","01-05T13:00:00",410,23.8,37.8,37.8,13.5
"110","01-05T14:00:00",398,23.9,38.2,38.2,13.6
"111","01-05T15:00:00",415,23.8,38.2,38.2,13.3
"112","01-05T16:00:00",386,23.7,37.6,37.6,12.9
"113","01-05T17:00:00",402,23.7,36.5,36.5,12.9
"114","01-05T18:00:00",381,23.6,36,36,12.9
"115","01-05T19:00:00",395,23.5,35.6,35.6,12.7
"116","01-05T20:00:00",413,23.4,35.1,35.1,12.8
"117","01-05T21:00:00",413,23.2,34.5,34.5,12.6
"118","01-05T22:00:00",426,23.2,34.1,34.1,12.3
"119","01-05T23:00:00",428,23,33.7,33.7,12.1
"120","01-06T00:00:00",418,22.3,32.5,32.5,12.2
"121","01-06T01:00:00",446,22.9,32.8,32.8,12
"122","01-06T02:00:00",456,22.9,32.6,32.6,11.8
"123","01-06T03:00:00",456,23,32.4,32.4,11.5
"124","01-06T04:00:00",453,22.9,32.1,32.1,11.3
"125","01-06T05:00:00",447,22.8,31.9,31.9,11.6
"126","01-06T06:00:00",479,22.7,31.8,31.8,11.7
"127","01-06T07:00:00",417,22.7,31.8,31.8,11.6
"128","01-06T08:00:00",406,23,32.1,32.1,12
"129","01-06T09:00:00",413,23.2,33.3,33.3,12.8
"130","01-06T10:00:00",396,23.4,34.7,34.7,13.2
"131","01-06T11:00:00",394,23.5,35.9,35.9,13.4
"132","01-06T12:00:00",409,23.6,36.9,36.9,13.3
"133","01-06T13:00:00",402,23.7,37.7,37.7,13.6
"134","01-06T14:00:00",391,23.8,38.1,38.1,13.7
"135","01-06T15:00:00",406,23.6,38.1,38,13.5
"136","01-06T16:00:00",381,23.5,37.5,37.5,13.1
"137","01-06T17:00:00",396,23.4,36.4,36.4,13
"138","01-06T18:00:00",379,23.3,35.8,35.8,13
"139","01-06T19:00:00",395,23.2,35.4,35.4,12.9
"140","01-06T20:00:00",411,23.1,34.9,34.9,13
"141","01-06T21:00:00",412,22.9,34.3,34.3,12.8
"142","01-06T22:00:00",425,22.8,33.9,33.9,12.5
"143","01-06T23:00:00",425,22.7,33.4,33.4,12.2
"144","01-07T00:00:00",422,21.7,32,32,12.2
"145","01-07T01:00:00",444,22.6,32.6,32.6,12.1
"146","01-07T02:00:00",457,22.6,32.3,32.3,12
"147","01-07T03:00:00",457,22.7,32.1,32.1,11.7
"148","01-07T04:00:00",453,22.6,31.8,31.8,11.5
"149","01-07T05:00:00",450,22.5,31.6,31.6,11.6
"150","01-07T06:00:00",483,22.4,31.5,31.5,11.7
"151","01-07T07:00:00",418,22.4,31.5,31.5,11.6
"152","01-07T08:00:00",411,22.7,31.8,31.8,11.8
"153","01-07T09:00:00",420,23,33,33,12.7
"154","01-07T10:00:00",407,23.2,34.4,34.4,13.1
"155","01-07T11:00:00",405,23.4,35.6,35.6,13.2
"156","01-07T12:00:00",418,23.5,36.6,36.6,13.1
"157","01-07T13:00:00",421,23.6,37.4,37.4,13.3
"158","01-07T14:00:00",401,23.7,37.8,37.8,13.5
"159","01-07T15:00:00",419,23.6,37.8,37.8,13.2
"160","01-07T16:00:00",399,23.5,37.3,37.3,12.9
"161","01-07T17:00:00",411,23.4,36.2,36.2,13
"162","01-07T18:00:00",395,23.3,35.7,35.7,12.9
"163","01-07T19:00:00",405,23.2,35.2,35.2,12.9
"164","01-07T20:00:00",415,23.1,34.8,34.8,13
"165","01-07T21:00:00",430,22.9,34.1,34.1,12.7
"166","01-07T22:00:00",442,22.9,33.7,33.7,12.5
"167","01-07T23:00:00",443,22.7,33.3,33.3,12.2
"168","01-08T00:00:00",443,21.6,31.9,31.9,12.3
"169","01-08T01:00:00",459,22.6,32.4,32.4,12.2
"170","01-08T02:00:00",471,22.6,32.2,32.2,12.1
"171","01-08T03:00:00",468,22.6,31.9,31.9,11.8
"172","01-08T04:00:00",468,22.6,31.7,31.7,11.6
"173","01-08T05:00:00",460,22.5,31.4,31.4,11.8
"174","01-08T06:00:00",484,22.4,31.3,31.3,11.8
"175","01-08T07:00:00",425,22.4,31.3,31.3,11.8
"176","01-08T08:00:00",421,22.7,31.6,31.6,11.9
"177","01-08T09:00:00",428,22.9,32.8,32.8,12.8
"178","01-08T10:00:00",410,23.1,34.2,34.2,13.1
"179","01-08T11:00:00",400,23.3,35.4,35.4,13.3
"180","01-08T12:00:00",414,23.3,36.4,36.4,13.1
"181","01-08T13:00:00",417,23.4,37.2,37.2,13.4
"182","01-08T14:00:00",392,23.4,37.6,37.6,13.6
"183","01-08T15:00:00",410,23.3,37.6,37.6,13.4
"184","01-08T16:00:00",394,23.2,37.1,37.1,13
"185","01-08T17:00:00",409,23.1,36,36,13.1
"186","01-08T18:00:00",391,22.9,35.4,35.4,13
"187","01-08T19:00:00",394,22.7,35,35,13.1
"188","01-08T20:00:00",409,22.7,34.5,34.5,13.3
"189","01-08T21:00:00",431,22.5,33.9,33.9,13
"190","01-08T22:00:00",450,22.5,33.4,33.4,12.7
"191","01-08T23:00:00",452,22.3,33,33,12.5
"192","01-09T00:00:00",449,21.3,31.7,31.7,12.6
"193","01-09T01:00:00",462,22.2,32.1,32.1,12.5
"194","01-09T02:00:00",468,22.2,31.9,31.9,12.3
"195","01-09T03:00:00",464,22.2,31.6,31.6,12
"196","01-09T04:00:00",466,22.2,31.4,31.4,11.9
"197","01-09T05:00:00",461,22.1,31.1,31.1,12
"198","01-09T06:00:00",483,22,31,31,11.9
"199","01-09T07:00:00",428,22,31,31,12
"200","01-09T08:00:00",420,22.3,31.3,31.3,12.1
"201","01-09T09:00:00",429,22.5,32.5,32.5,12.9
"202","01-09T10:00:00",421,22.8,33.8,33.8,13.2
"203","01-09T11:00:00",402,22.9,35.1,35.1,13.4
"204","01-09T12:00:00",412,23,36.1,36.1,13.3
"205","01-09T13:00:00",415,23,36.9,36.9,13.5
"206","01-09T14:00:00",393,23.1,37.3,37.3,13.6
"207","01-09T15:00:00",402,23,37.3,37.3,13.5
"208","01-09T16:00:00",390,22.9,36.8,36.8,13.1
"209","01-09T17:00:00",402,22.7,35.7,35.7,13.1
"210","01-09T18:00:00",383,22.5,35.1,35.1,13.1
"211","01-09T19:00:00",384,22.3,34.6,34.6,13.2
"212","01-09T20:00:00",402,22.4,34.2,34.2,13.3
"213","01-09T21:00:00",428,22.2,33.6,33.6,13
"214","01-09T22:00:00",448,22.1,33.1,33.1,12.8
"215","01-09T23:00:00",443,22,32.7,32.7,12.6
"216","01-10T00:00:00",438,21.1,31.4,31.4,12.7
"217","01-10T01:00:00",454,21.8,31.7,31.7,12.5
"218","01-10T02:00:00",448,21.8,31.5,31.5,12.5
"219","01-10T03:00:00",451,21.8,31.2,31.2,12.1
"220","01-10T04:00:00",453,21.7,31,31,12.1
"221","01-10T05:00:00",447,21.5,30.7,30.7,12.2
"222","01-10T06:00:00",465,21.4,30.5,30.5,12.1
"223","01-10T07:00:00",422,21.4,30.5,30.5,12.1
"224","01-10T08:00:00",411,21.7,30.8,30.8,12.2
"225","01-10T09:00:00",418,21.9,32,32,13
"226","01-10T10:00:00",413,22.2,33.4,33.4,13.3
"227","01-10T11:00:00",398,22.4,34.7,34.7,13.4
"228","01-10T12:00:00",410,22.5,35.7,35.7,13.3
"229","01-10T13:00:00",406,22.5,36.5,36.5,13.5
"230","01-10T14:00:00",389,22.6,37,37,13.7
"231","01-10T15:00:00",402,22.6,37.1,37.1,13.5
"232","01-10T16:00:00",395,22.5,36.6,36.6,13.2
"233","01-10T17:00:00",399,22.3,35.4,35.4,13.2
"234","01-10T18:00:00",383,22.2,34.9,34.9,13.2
"235","01-10T19:00:00",384,22.1,34.4,34.4,13.3
"236","01-10T20:00:00",402,22.1,33.9,33.9,13.4
"237","01-10T21:00:00",432,21.9,33.3,33.3,13.1
"238","01-10T22:00:00",444,21.9,32.9,32.9,12.9
"239","01-10T23:00:00",434,21.8,32.5,32.5,12.8
"240","01-11T00:00:00",439,20.8,31.1,31.1,12.8
"241","01-11T01:00:00",455,21.6,31.5,31.5,12.5
"242","01-11T02:00:00",452,21.6,31.3,31.3,12.4
"243","01-11T03:00:00",451,21.5,31,31,12.2
"244","01-11T04:00:00",457,21.5,30.7,30.7,12.2
"245","01-11T05:00:00",445,21.3,30.4,30.4,12.2
"246","01-11T06:00:00",469,21.2,30.3,30.3,12.1
"247","01-11T07:00:00",421,21.2,30.2,30.2,12.1
"248","01-11T08:00:00",413,21.5,30.5,30.5,12.3
"249","01-11T09:00:00",416,21.7,31.8,31.8,13
"250","01-11T10:00:00",409,22.1,33.1,33.1,13.2
"251","01-11T11:00:00",401,22.3,34.4,34.4,13.4
"252","01-11T12:00:00",410,22.3,35.4,35.4,13.4
"253","01-11T13:00:00",405,22.4,36.2,36.2,13.6
"254","01-11T14:00:00",382,22.5,36.7,36.7,13.7
"255","01-11T15:00:00",394,22.4,36.8,36.8,13.6
"256","01-11T16:00:00",389,22.3,36.3,36.3,13.4
"257","01-11T17:00:00",389,22,35.2,35.2,13.3
"258","01-11T18:00:00",376,21.9,34.6,34.6,13.3
"259","01-11T19:00:00",370,21.8,34.1,34.1,13.4
"260","01-11T20:00:00",394,21.8,33.7,33.7,13.5
"261","01-11T21:00:00",412,21.6,33,33,13
"262","01-11T22:00:00",426,21.5,32.5,32.5,13
"263","01-11T23:00:00",425,21.4,32.2,32.2,12.8
"264","01-12T00:00:00",432,20.3,30.7,30.7,13
"265","01-12T01:00:00",447,21.2,31.2,31.2,12.5
"266","01-12T02:00:00",447,21.1,31,31,12.4
"267","01-12T03:00:00",440,21.1,30.7,30.7,12.1
"268","01-12T04:00:00",447,21.1,30.4,30.4,12.2
"269","01-12T05:00:00",443,20.9,30.1,30.1,12
"270","01-12T06:00:00",470,20.8,30,30,11.9
"271","01-12T07:00:00",426,20.8,30,30,11.9
"272","01-12T08:00:00",418,21.2,30.3,30.3,12.1
"273","01-12T09:00:00",416,21.5,31.6,31.6,12.8
"274","01-12T10:00:00",410,21.8,32.9,32.9,13
"275","01-12T11:00:00",405,22,34.2,34.2,13.3
"276","01-12T12:00:00",408,22.1,35.2,35.2,13.4
"277","01-12T13:00:00",412,22.1,36,36,13.5
"278","01-12T14:00:00",382,22.2,36.5,36.5,13.6
"279","01-12T15:00:00",397,22.2,36.6,36.6,13.6
"280","01-12T16:00:00",392,22,36.1,36.1,13.3
"281","01-12T17:00:00",395,21.8,35,35,13.3
"282","01-12T18:00:00",381,21.7,34.4,34.4,13.2
