"","DATE","HLY.CLOD.PCTOVC","HLY.DEWP.NORMAL","HLY.HIDX.NORMAL","HLY.TEMP.NORMAL","HLY.WIND.AVGSPD"
"1","01-01T01:00:00",NA,17.3,25.4,25.3,7.4
"2","01-01T02:00:00",NA,17.2,25.3,25.3,7.6
"3","01-01T03:00:00",593,17.2,25.3,25.2,7.4
"4","01-01T04:00:00",571,17.2,25.4,25.3,7.1
"5","01-01T05:00:00",581,17.2,25.2,25.1,7.2
"6","01-01T06:00:00",583,17.1,25.1,25.1,7.4
"7","01-01T07:00:00",NA,17,25,25,7.1
"8","01-01T08:00:00",569,17,24.9,24.9,7.2
"9","01-01T09:00:00",562,17,24.9,24.8,7.1
"10","01-01T10:00:00",NA,16.7,24.9,24.9,7.2
"11","01-01T11:00:00",NA,16.8,25.1,25.1,7.3
"12","01-01T12:00:00",NA,17.1,25.6,25.6,7.3
"13","01-01T13:00:00",NA,17.3,25.9,25.9,7.4
"14","01-01T14:00:00",NA,17.4,25.9,25.8,7.2
"15","01-01T15:00:00",603,17.4,25.8,25.7,7.4
"16","01-01T16:00:00",NA,17.3,25.5,25.5,7.7
"17","01-01T17:00:00",NA,17.3,25.4,25.4,7
"18","01-01T18:00:00",NA,17.2,25.3,25.3,7
"19","01-01T19:00:00",NA,16.8,25.1,25.1,7.3
"20","01-01T20:00:00",NA,17,25.2,25.1,7.3
"21","01-01T21:00:00",582,17.1,25.2,25.1,7.2
"22","01-01T22:00:00",NA,17,25,25,7.3
"23","01-01T23:00:00",NA,17.1,25.1,25.1,7.5
"24","01-02T00:00:00",581,17,25.1,25,7.4
"25","01-02T01:00:00",NA,17,25.1,25,7.5
"26","01-02T02:00:00",606,17,25,25,7.7
"27","01-02T03:00:00",579,16.9,25,24.9,7.5
"28","01-02T04:00:00",564,16.9,25,25,7.2
"29","01-02T05:00:00",578,16.9,24.9,24.8,7.3
"30","01-02T06:00:00",591,16.8,24.9,24.8,7.4
"31","01-02T07:00:00",NA,16.7,24.7,24.7,7.2
"32","01-02T08:00:00",573,16.7,24.7,24.6,7.3
"33","01-02T09:00:00",571,16.7,24.6,24.6,7.2
"34","01-02T10:00:00",566,16.5,24.7,24.6,7.3
"35","01-02T11:00:00",NA,16.6,24.9,24.9,7.3
"36","01-02T12:00:00",NA,16.9,25.4,25.3,7.3
"37","01-02T13:00:00",NA,17,25.7,25.7,7.5
"38","01-02T14:00:00",NA,17.2,25.7,25.6,7.3
"39","01-02T15:00:00",610,17.2,25.6,25.6,7.5
"40","01-02T16:00:00",NA,17.1,25.3,25.3,7.7
"41","01-02T17:00:00",NA,17.1,25.3,25.2,7.2
"42","01-02T18:00:00",NA,17,25.2,25.1,7.2
"43","01-02T19:00:00",NA,16.6,25,24.9,7.4
"44","01-02T20:00:00",NA,16.8,25,25,7.4
"45","01-02T21:00:00",579,16.9,25,25,7.4
"46","01-02T22:00:00",NA,16.8,24.8,24.7,7.4
"47","01-02T23:00:00",NA,16.9,24.8,24.8,7.6
